productID,productName,productPrice,supplierID,supplierName,storeID,storeName
2,Dell XPS 13 Laptop,1299.99,1,Dell Technologies,2,Tech Haven
21,DJI Mavic Air 2 Drone,799.99,2,DJI,6,Photo World
29,AOC CQ32G1 Curved Gaming Monitor,349.99,3,AOC International,4,Game Zone
11,LG OLED C1 4K TV,2499.99,4,LG Electronics,1,Electro Mart
99,Jabra Elite 75t True Wireless Earbuds,149.99,5,Jabra,3,Sound Zone
81,Acer Predator X34 Curved Gaming Monitor,999.99,6,Acer Inc.,4,Game Zone
95,Lenovo ThinkPad X1 Carbon Gen 9 Laptop,1899.99,7,Lenovo Group,2,Tech Haven
97,Google Nest Audio Smart Speaker,99.99,8,Google LLC,3,Sound Zone
22,Corsair K95 RGB Platinum XT Mechanical Gaming Keyboard,199.99,9,Corsair,4,Game Zone
72,Fujifilm X100V Compact Camera,1399.99,10,Fujifilm Holdings Corporation,6,Photo World
91,Logitech G502 HERO Gaming Mouse,79.99,11,Logitech,4,Game Zone
8,Alienware Aurora Gaming PC,1799.99,12,Alienware (Dell),5,InnoTech
76,ASUS TUF Gaming VG279QM Monitor,349.99,13,ASUS,4,Game Zone
65,JBL Charge 4 Portable Bluetooth Speaker,149.99,14,JBL,3,Sound Zone
79,Canon EOS 90D DSLR Camera,1199.99,15,Canon Inc.,6,Photo World
73,Apple iPad Pro (12.9-inch),1099.99,16,Apple Inc.,2,Tech Haven
41,HyperX Cloud II Gaming Headset,99.99,17,HyperX (Kingston Technology),4,Game Zone
89,Canon EOS-1D X Mark III DSLR Camera,6499.99,15,Canon Inc.,6,Photo World
5,iPad Air,599.99,16,Apple Inc.,2,Tech Haven
10,Fitbit Charge 5,179.99,18,Fitbit Inc.,7,Health Zone
78,Lenovo Yoga C930 2-in-1 Laptop,1199.99,7,Lenovo Group,2,Tech Haven
85,HP Pavilion 27xw Monitor,249.99,19,HP Inc.,2,Tech Haven
20,Apple Watch Series 7,399.99,16,Apple Inc.,7,Health Zone
92,Amazon Echo Show 10 (3rd Gen),249.99,20,"Amazon.com, Inc.",1,Electro Mart
57,Sony Alpha 7C Mirrorless Camera,1799.99,21,Sony Corporation,6,Photo World
53,OnePlus Buds Pro,149.99,22,OnePlus Technology,3,Sound Zone
94,Bose SoundLink Revolve+ Bluetooth Speaker,299.99,23,Bose Corporation,3,Sound Zone
59,NVIDIA GeForce RTX 3080 Graphics Card,699.99,24,NVIDIA Corporation,5,InnoTech
80,Anker Soundcore Flare+ Portable Speaker,99.99,25,Anker Innovations,3,Sound Zone
100,Microsoft Surface Pro 7,799.99,26,Microsoft Corporation,2,Tech Haven
51,MacBook Pro M2,1999.99,16,Apple Inc.,2,Tech Haven
31,MacBook Air M2,1199.99,16,Apple Inc.,2,Tech Haven
46,MSI GS66 Stealth Gaming Laptop,1999.99,27,MSI (Micro-Star International),5,InnoTech
39,Apple AirPods Max,549.99,16,Apple Inc.,3,Sound Zone
44,Corsair Virtuoso RGB Wireless Gaming Headset,179.99,9,Corsair,4,Game Zone
47,Fujifilm X-T4 Mirrorless Camera,1499.99,10,Fujifilm Holdings Corporation,6,Photo World
28,Fitbit Versa 3 Smartwatch,229.99,18,Fitbit Inc.,7,Health Zone
75,Ring Video Doorbell Pro 2,249.99,28,Ring (Amazon),1,Electro Mart
